raw	processed
Schlumbergera_truncata_15H-01_pol_S46_L001	Schlumbergera_truncata_15H01_pol
Schlumbergera_truncata__15H1__s_S48_L005	Schlumbergera_truncata_15H01_sty
Schlumbergera_truncata_15H-02_pol_S47_L001	Schlumbergera_truncata_15H02_pol
Schlumbergera_truncata__15H2__s_S49_L005	Schlumbergera_truncata_15H02_sty
Schlumbergera_truncata_15H-03_pol_S48_L001	Schlumbergera_truncata_15H03_pol
Schlumbergera_truncata_15H3_sty_S73_L008	Schlumbergera_truncata_15H03_sty_1
Schlumbergera_truncata__15H3__s_S50_L005	Schlumbergera_truncata_15H03_sty_2
Schlumbergera_truncata__15H4P__p_S51_L005	Schlumbergera_truncata_15H04_pol
Schlumbergera_truncata__15H4PET__petal_S52_L005	Schlumbergera_truncata_15H04_ptl
Schlumbergera_truncata__15H4S__s_S53_L005	Schlumbergera_truncata_15H04_sty
Schlumbergera_truncata__15H5P__p_S54_L005	Schlumbergera_truncata_15H05_pol
Schlumbergera_truncata_15H5_sty_S72_L008	Schlumbergera_truncata_15H05_sty_1
Schlumbergera_truncata__15H5S__s_S55_L005	Schlumbergera_truncata_15H05_sty_2
Schlumbergera_truncata__15H6P__p_S56_L005	Schlumbergera_truncata_15H06_pol
Schlumbergera_truncata__15H6S__s_S57_L005	Schlumbergera_truncata_15H06_sty
Schlumbergera_truncata_15H-07_pol_S49_L001	Schlumbergera_truncata_15H07_pol
Schlumbergera_truncata__15H7__s_S58_L005	Schlumbergera_truncata_15H07_sty
Schlumbergera_truncata_15H-08_pol_S50_L001	Schlumbergera_truncata_15H08_pol
Schlumbergera_truncata_15H-08_sty_S51_L001	Schlumbergera_truncata_15H08_sty
Schlumbergera_truncata_15H-09_pol_S52_L001	Schlumbergera_truncata_15H09_pol
Schlumbergera_truncata_9K_root_S14_L001	Schlumbergera_truncata_15H09_root
Schlumbergera_truncata_9K_stem_S15_L001	Schlumbergera_truncata_15H09_stem
Schlumbergera_truncata__9K__s_S59_L005	Schlumbergera_truncata_15H09_sty
Schlumbergera_truncata_19H-10_sty_S53_L001	Schlumbergera_truncata_19H10_sty
Schlumbergera_truncata_19H-11_sty_S54_L001	Schlumbergera_truncata_19H11_sty
Schlumbergera_truncata_19H-12_sty_S55_L001	Schlumbergera_truncata_19H12_sty
Schlumbergera_truncata_19H-13_sty_S56_L001	Schlumbergera_truncata_19H13_sty
Schlumbergera_SF19-1_sty_S45_L001	Schlumbergera_truncata_19SF1_sty
Matucana_madisoniorum__HBG-13__s_S47_L005	Matucana_madisoniorum_HBG13_sty
