sample	reads	reads_filt	retained	len_1_filt	len_2_filt	Q_1	Q_2	Q_1_filt	Q_2_filt
Schlumbergera_truncata_15H01_pol	4841466	3353072	0.6925736956533414	149	147	35.8	34.8	36.2	35.8
Schlumbergera_truncata_15H01_sty	6769308	4628401	0.683733256043306	148	139	38.8	35.9	39.9	38.8
Schlumbergera_truncata_15H02_pol	4888079	3353774	0.6861128881100326	149	147	35.8	35	36.2	35.8
Schlumbergera_truncata_15H02_sty	6173982	4263304	0.6905274424188473	147	139	38.8	36.3	39.8	38.8
Schlumbergera_truncata_15H03_pol	6983951	4858975	0.6957344059258148	149	147	35.8	35.1	36.2	35.9
Schlumbergera_truncata_15H03_sty_1	9183100	5450149	0.5934977295248881	147	139	38.4	35.9	39.6	38.6
Schlumbergera_truncata_15H03_sty_2	7147068	4815235	0.6737357193187472	148	139	38.7	36.1	39.8	38.7
Schlumbergera_truncata_15H04_pol	8392597	5497308	0.655018702792473	148	138	38.8	35.8	39.8	38.6
Schlumbergera_truncata_15H04_ptl	5120713	2921784	0.5705814795713019	147	140	38.6	36.5	39.7	38.7
Schlumbergera_truncata_15H04_sty	5240352	3446465	0.6576781483381269	147	140	38.6	36.4	39.8	38.8
Schlumbergera_truncata_15H05_pol	6347070	4365031	0.6877237843603426	148	139	38.8	35.9	39.8	38.8
Schlumbergera_truncata_15H05_sty_1	9618084	6479817	0.6737118328348972	146	139	38.2	35.9	39.6	38.8
Schlumbergera_truncata_15H05_sty_2	5043649	3051699	0.6050577667081908	147	141	38.7	36.8	39.9	39
Schlumbergera_truncata_15H06_pol	6850087	4360475	0.636557608684386	148	141	38.9	36.5	39.7	38.8
Schlumbergera_truncata_15H06_sty	6632382	4203598	0.6337991388312676	148	139	38.8	36.1	39.7	38.6
Schlumbergera_truncata_15H07_pol	4513581	2988451	0.662101998391078	148	147	35.7	35	36.2	35.9
Schlumbergera_truncata_15H07_sty	6411850	4200344	0.6550908084250255	148	139	38.9	35.9	39.9	38.6
Schlumbergera_truncata_15H08_pol	5106699	3863997	0.7566525851631357	149	147	35.8	35.1	36.2	35.8
Schlumbergera_truncata_15H08_sty	4521102	2741695	0.6064218414006143	148	146	35.7	34.8	36.2	35.8
Schlumbergera_truncata_15H09_pol	4645325	2575494	0.5544270852954314	148	147	35.7	35	36.2	35.8
Schlumbergera_truncata_15H09_root	6653640	3261445	0.4901745510727962	149	148	35.7	34.4	36.4	36.2
Schlumbergera_truncata_15H09_stem	8275870	5731805	0.6925924404322445	149	149	35.8	35.2	36.4	36.2
Schlumbergera_truncata_15H09_sty	6363556	4525356	0.711136352064789	147	138	38.8	35.8	39.8	38.7
Schlumbergera_truncata_19H10_sty	2846832	1474830	0.5180600751993795	148	147	35.6	34.6	36.2	35.9
Schlumbergera_truncata_19H11_sty	3378246	1990406	0.5891832625569601	148	147	35.6	34.6	36.2	35.9
Schlumbergera_truncata_19H12_sty	3131561	1862421	0.5947260806990508	148	147	35.6	34.6	36.2	35.9
Schlumbergera_truncata_19H13_sty	3474548	2051118	0.5903265690961818	148	147	35.6	34.7	36.2	35.8
Schlumbergera_truncata_19SF1_sty	4022583	2336231	0.5807788179883423	148	145	35.7	34.1	36.2	35.4
Matucana_madisoniorum_HBG13_sty	4148932	2396890	0.5777125293931065	145	140	38.1	36.4	39.5	38.9
